bms_id,site_id,transect_id,section_id,section_length,transect_length,section_lon,section_lat,section_geom_true
UKBMS,7671,UKBMS.1,1,157,2038,3628437,3305316,TRUE
UKBMS,10086,UKBMS.1,10,157,2038,3628423,3305837,TRUE
UKBMS,208,UKBMS.1,11,157,2038,3628373,3305601,TRUE
UKBMS,13244,UKBMS.1,12,157,2038,3628349,3305514,TRUE
UKBMS,12014,UKBMS.1,2,157,2038,3628633,3305213,TRUE
UKBMS,3766,UKBMS.1,3,157,2038,3628775,3305158,TRUE
UKBMS,19248,UKBMS.1,4,157,2038,3628940,3305172,TRUE
UKBMS,9215,UKBMS.1,5,157,2038,3628922,3305489,TRUE
UKBMS,15686,UKBMS.1,6,157,2038,3628823,3305567,TRUE
UKBMS,581,UKBMS.1,7,157,2038,3628725,3305644,TRUE
UKBMS,3653,UKBMS.1,8,157,2038,3628620,3305743,TRUE
UKBMS,13058,UKBMS.1,9,157,2038,3628530,3305809,TRUE
UKBMS,19478,UKBMS.10,1,287,4020,3346068,3256425,TRUE
UKBMS,4774,UKBMS.10,10,287,4020,3347935,3256958,TRUE
UKBMS,18755,UKBMS.10,11,287,4020,3347603,3257024,TRUE
UKBMS,3096,UKBMS.10,12,287,4020,3347924,3256950,TRUE
UKBMS,10704,UKBMS.10,13,287,4020,3348017,3257148,TRUE
UKBMS,7070,UKBMS.10,2,287,4020,3345803,3256348,TRUE
UKBMS,4944,UKBMS.10,3,287,4020,3346368,3256833,TRUE
UKBMS,9177,UKBMS.10,4,287,4020,3346421,3256967,TRUE
UKBMS,16784,UKBMS.10,5,287,4020,3346713,3257020,TRUE
UKBMS,13700,UKBMS.10,6,287,4020,3346773,3256898,TRUE
UKBMS,16018,UKBMS.10,7,287,4020,3346635,3256738,TRUE
UKBMS,16259,UKBMS.10,8,287,4020,3348190,3257272,TRUE
UKBMS,8105,UKBMS.10,9,287,4020,3348168,3257143,TRUE
UKBMS,5457,UKBMS.100,1,351,5180,3381789,3361516,TRUE
UKBMS,8337,UKBMS.100,10,351,5180,3381999,3362233,TRUE
UKBMS,7601,UKBMS.100,11,351,5180,3382063,3362009,TRUE
UKBMS,5498,UKBMS.100,12,351,5180,3381941,3361765,TRUE
UKBMS,8706,UKBMS.100,13,351,5180,3382439,3360929,TRUE
UKBMS,17130,UKBMS.100,14,351,5180,3382079,3360471,TRUE
UKBMS,10140,UKBMS.100,15,351,5180,3381882,3360199,TRUE
UKBMS,20364,UKBMS.100,2,351,5180,3381652,3361366,TRUE
UKBMS,5690,UKBMS.100,3,351,5180,3381552,3361433,TRUE
UKBMS,13762,UKBMS.100,4,351,5180,3381237,3360998,TRUE
UKBMS,12386,UKBMS.100,5,351,5180,3381036,3360889,TRUE
UKBMS,9819,UKBMS.100,6,351,5180,3380814,3361129,TRUE
UKBMS,15289,UKBMS.100,7,351,5180,3381059,3361445,TRUE
UKBMS,7265,UKBMS.100,8,351,5180,3381188,3361555,TRUE
UKBMS,6419,UKBMS.100,9,351,5180,3381545,3361872,TRUE
UKBMS,8088,UKBMS.1001,1,100,1500,3522538,3173874,TRUE
